# New CTS failures in 1.3.5.0
dEQP-VK.binding_model.ics_miss_buffers8_sets1,Crash

dEQP-VK.draw.dynamic_rendering.primary_cmd_buff.linear_interpolation.no_offset_2_samples,Fail

# https://gitlab.khronos.org/Tracker/vk-gl-cts/-/issues/4298
dEQP-VK.pipeline.fast_linked_library.multisample_with_fragment_shading_rate.conservative_with_full_coverage.underestimate.samples_2_post_depth_coverage,Fail
dEQP-VK.pipeline.fast_linked_library.multisample_with_fragment_shading_rate.conservative_with_full_coverage.underestimate.samples_4_post_depth_coverage,Fail
dEQP-VK.pipeline.fast_linked_library.multisample_with_fragment_shading_rate.conservative_with_full_coverage.underestimate.samples_8_post_depth_coverage,Fail
dEQP-VK.pipeline.monolithic.multisample_with_fragment_shading_rate.conservative_with_full_coverage.underestimate.samples_2_post_depth_coverage,Fail
dEQP-VK.pipeline.monolithic.multisample_with_fragment_shading_rate.conservative_with_full_coverage.underestimate.samples_4_post_depth_coverage,Fail
dEQP-VK.pipeline.monolithic.multisample_with_fragment_shading_rate.conservative_with_full_coverage.underestimate.samples_8_post_depth_coverage,Fail
dEQP-VK.pipeline.pipeline_library.multisample_with_fragment_shading_rate.conservative_with_full_coverage.underestimate.samples_2_post_depth_coverage,Fail
dEQP-VK.pipeline.pipeline_library.multisample_with_fragment_shading_rate.conservative_with_full_coverage.underestimate.samples_4_post_depth_coverage,Fail
dEQP-VK.pipeline.pipeline_library.multisample_with_fragment_shading_rate.conservative_with_full_coverage.underestimate.samples_8_post_depth_coverage,Fail

dEQP-VK.subgroups.builtin_var.ray_tracing.subgroupsize,Fail
