dEQP-GLES31.functional.ssbo.layout.random.all_shared_buffer.12,Crash

dEQP-VK.api.buffer.dedicated_alloc.transfer_dst.uniform_texel.storage_texel.uniform.index.vertex.indirect.create.zero,Fail
dEQP-VK.api.buffer.suballocation.transfer_dst.uniform.index.create.binding_residency_aliased,Fail
dEQP-VK.api.buffer.suballocation.transfer_src.uniform_texel.uniform.storage.index.create.binding_residency_aliased,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.1d.etc2_r8g8b8a8_srgb_block.etc2_r8g8b8a8_srgb_block.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.1d.r32g32b32_uint.r32g32b32_uint.linear_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.2d.a8b8g8r8_srgb_pack32.a8b8g8r8_srgb_pack32.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.2d.r4g4_unorm_pack8.b8g8r8_snorm.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.3d.r16g16_uscaled.r16g16_uscaled.general_general_linear_stripes_x,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.3d.r16g16b16_sint.r16g16b16_sint.general_general_linear_stripes_z,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.3d.r8_srgb.r8_srgb.linear_optimal_linear_stripes_x,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.generate_mipmaps.from_previous_level.layercount_1.b8g8r8_unorm.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.generate_mipmaps.from_previous_level.layercount_6.r8g8b8_unorm.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.simple_tests.mirror_y.b8g8r8a8_unorm_nearest,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.depth_stencil_msaa_copy.whole.d32_sfloat_general_optimal_D_32_bit,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.image_to_image.all_formats.color.2d.a2r10g10b10_uint_pack32.r32_sfloat.optimal_general,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.image_to_image.all_formats.color.2d.r4g4_unorm_pack8.r8_snorm.optimal_general,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.1d.a8b8g8r8_snorm_pack32.a8b8g8r8_snorm_pack32.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a1r5g5b5_unorm_pack16.r16_uscaled.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2b10g10r10_snorm_pack32.r16g16b16_unorm.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2b10g10r10_sscaled_pack32.b10g11r11_ufloat_pack32.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2b10g10r10_unorm_pack32.r16_uscaled.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2b10g10r10_uscaled_pack32.r16g16b16a16_uscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2r10g10b10_snorm_pack32.b8g8r8_uscaled.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2r10g10b10_uscaled_pack32.b8g8r8a8_snorm.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a4b4g4r4_unorm_pack16.r16_uscaled.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a4r4g4b4_unorm_pack16.a2r10g10b10_uscaled_pack32.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a8b8g8r8_unorm_pack32.r8g8_uscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_10x10_unorm_block.r8g8b8a8_snorm.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_10x5_srgb_block.astc_10x5_srgb_block.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_10x6_unorm_block.r8g8_unorm.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_10x8_unorm_block.r8g8b8_sscaled.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_12x12_unorm_block.a2b10g10r10_unorm_pack32.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_5x5_unorm_block.a2b10g10r10_sscaled_pack32.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_8x5_unorm_block.r16g16b16a16_sfloat.optimal_optimal_cubic,Fail
