# Failures likely due to lavapipe (i.e. the intersection of observed failures and lvp-fails.txt)
dEQP-VK.glsl.crash_test.divbyzero_comp,Crash

# Full Venus list
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.compute.descriptor_array.2d_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.compute.descriptor_array.2d,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.compute.multiple_arbitrary_descriptors.2d_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.compute.single_descriptor.2d_array_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.compute.single_descriptor.2d_array,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.fragment.descriptor_array.1d_array,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.fragment.descriptor_array.1d_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.fragment.multiple_arbitrary_descriptors.2d_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.fragment.multiple_contiguous_descriptors.cube_array,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.fragment.multiple_discontiguous_descriptors.1d_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.fragment.multiple_discontiguous_descriptors.3d,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.fragment.single_descriptor.1d_array,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.fragment.single_descriptor.2d,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.geometry.descriptor_array.2d_array_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.geometry.multiple_contiguous_descriptors.1d_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.geometry.multiple_discontiguous_descriptors.1d_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.geometry.multiple_discontiguous_descriptors.2d_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.geometry.multiple_discontiguous_descriptors.cube_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.geometry.single_descriptor.cube_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.geometry.single_descriptor.cube_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.descriptor_array.2d_array,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.descriptor_array.3d,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_contiguous_descriptors.1d,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_contiguous_descriptors.cube,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_discontiguous_descriptors.2d_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_discontiguous_descriptors.cube_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.single_descriptor.cube_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_eval.descriptor_array.cube_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_eval.multiple_contiguous_descriptors.cube_array_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_eval.multiple_discontiguous_descriptors.1d_array,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_eval.multiple_discontiguous_descriptors.2d_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_eval.multiple_discontiguous_descriptors.3d,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_eval.multiple_discontiguous_descriptors.cube_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_eval.multiple_discontiguous_descriptors.cube_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_eval.single_descriptor.1d_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.tess_eval.single_descriptor.2d_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.vertex.descriptor_array.1d,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.descriptor_array.1d_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.descriptor_array.2d_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.multiple_contiguous_descriptors.1d_base_slice,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.multiple_discontiguous_descriptors.cube,Fail
dEQP-VK.binding_model.shader_access.primary_cmd_buf.with_push_template.sampler_immutable.vertex_fragment.single_descriptor.cube_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.fragment.descriptor_array.cube_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.fragment.multiple_contiguous_descriptors.2d_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.fragment.multiple_discontiguous_descriptors.cube_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.fragment.multiple_discontiguous_descriptors.cube_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.geometry.descriptor_array.3d_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.geometry.multiple_discontiguous_descriptors.2d_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.geometry.single_descriptor.1d_base_slice,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.geometry.single_descriptor.cube,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.descriptor_array.cube_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_contiguous_descriptors.1d_array_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_discontiguous_descriptors.1d_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_discontiguous_descriptors.2d_base_mip,Fail
dEQP-VK.binding_model.shader_access.secondary_cmd_buf.with_push_template.sampler_immutable.tess_ctrl.multiple_discontiguous_descriptors.cube_base_slice,Fail
